City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Orlik,RU,52.52,99.83,8.31,85,53,3.11,broken clouds
270,Souillac,MU,-20.52,57.52,71.6,78,20,5.82,few clouds
271,Samarai,PG,-10.62,150.67,80.49,83,12,5.84,few clouds
272,Neverkino,RU,52.79,46.74,41.04,94,97,8.16,overcast clouds
273,Sterling,US,39.01,-77.43,71.01,37,20,2.57,few clouds
274,Ust-Omchug,RU,61.15,149.63,0.34,90,97,7.83,overcast clouds
275,Toropets,RU,56.5,31.64,41.36,80,69,8.63,broken clouds
276,Port Hardy,CA,50.7,-127.42,42.8,93,20,5.82,few clouds
277,Long Xuyen,VN,10.38,105.42,78.8,100,40,3.36,scattered clouds
278,Paamiut,GL,61.99,-49.67,32.04,97,100,37.51,overcast clouds
279,Meulaboh,ID,4.14,96.13,77.65,87,100,4.05,moderate rain
280,Auki,SB,-8.77,160.7,76.78,81,85,2.91,light rain
281,Fairbanks,US,64.84,-147.72,18.0,85,90,1.12,snow
282,Kashi,CN,39.45,75.98,42.8,30,0,11.18,clear sky
283,Bitung,ID,1.45,125.18,77.0,94,40,6.93,moderate rain
284,Trairi,BR,-3.28,-39.27,86.22,58,89,15.21,overcast clouds
285,Koulikoro,ML,14.0,-7.75,85.44,25,0,3.18,clear sky
286,Azuqueca De Henares,ES,40.57,-3.26,64.4,68,20,23.04,few clouds
287,Inuvik,CA,68.35,-133.72,15.8,78,100,4.7,overcast clouds
288,Nakamura,JP,32.98,132.93,61.48,94,100,3.02,light rain
289,Westport,US,41.14,-73.36,70.0,72,1,10.29,clear sky
290,Adre,TD,13.47,22.2,77.43,24,20,8.99,few clouds
291,Bud,US,39.45,-86.18,69.8,40,1,6.93,clear sky
292,Arraias,BR,-12.93,-46.94,81.64,65,98,6.2,moderate rain
293,Santa Rosa,PH,14.31,121.11,80.6,83,20,2.24,few clouds
294,Saint-Joseph,RE,-21.37,55.62,73.4,73,0,14.99,clear sky
295,Dandong,CN,40.13,124.39,47.23,87,0,2.26,clear sky
296,Coahuayana,MX,18.73,-103.68,80.6,44,5,11.41,clear sky
297,Mutoko,ZW,-17.4,32.23,81.61,29,71,4.5,broken clouds
298,Srivardhan,IN,18.03,73.02,76.03,57,0,6.2,clear sky
299,Abonnema,NG,4.71,6.79,80.6,88,20,2.24,few clouds
300,Kjollefjord,NO,70.95,27.35,42.8,75,75,32.21,shower rain
301,Acapulco,MX,16.86,-99.89,86.0,70,40,4.7,scattered clouds
302,Praia,CV,14.92,-23.51,82.4,69,40,13.87,scattered clouds
303,San Patricio,US,28.02,-97.52,82.0,65,75,10.29,broken clouds
304,Castelnaudary,FR,43.32,1.95,63.0,87,90,23.04,overcast clouds
305,Grand-Santi,GF,4.25,-54.38,91.89,47,46,1.23,scattered clouds
306,Saskylakh,RU,71.92,114.08,3.52,93,100,5.88,overcast clouds
307,Hambantota,LK,6.12,81.12,79.5,86,75,11.27,light rain
308,Novikovo,RU,51.15,37.89,46.24,77,98,15.95,overcast clouds
309,Gardez,AF,33.6,69.23,37.71,59,0,0.76,clear sky
310,New Ulm,US,44.31,-94.46,73.99,30,1,17.22,clear sky
311,Katobu,ID,-4.94,122.53,74.73,83,51,1.88,broken clouds
312,Nanortalik,GL,60.14,-45.24,37.83,90,100,20.6,light rain
313,Ozernovskiy,RU,51.5,156.52,36.61,78,100,19.71,overcast clouds
314,Atyrau,KZ,47.12,51.88,50.0,76,75,8.95,mist
315,Gravdal,NO,68.12,13.5,46.4,61,75,20.8,shower rain
316,Taltal,CL,-25.4,-70.48,65.91,57,32,6.24,scattered clouds
317,Saldanha,ZA,-33.01,17.94,60.8,87,100,5.82,light rain
318,Samana,DO,19.21,-69.34,86.0,74,75,6.93,broken clouds
319,Pedernales,DO,18.04,-71.74,87.8,70,40,11.41,scattered clouds
